# RGB board correspondences used for T_bc / RGB IPPE
# selected_rgb_candidate = 1
# nu = 10
# nv = 10
# pitch_mm = 2.540000
# board_xyz_mm generated by build_board_xyz_canonical(...)
# rgb_uv_px interpolated from checkerboard_corners_uv = [TL, TR, BL]
#
# idx  i  j  board_x_mm  board_y_mm  board_z_mm  rgb_u_px  rgb_v_px
000  00  00  +0.000000  +0.000000  +0.000000  +1023.595520  +639.222229
001  00  01  +2.540000  +0.000000  +0.000000  +1030.774603  +639.067926
002  00  02  +5.080000  +0.000000  +0.000000  +1037.953687  +638.913623
003  00  03  +7.620000  +0.000000  +0.000000  +1045.132770  +638.759320
004  00  04  +10.160000  +0.000000  +0.000000  +1052.311853  +638.605017
005  00  05  +12.700000  +0.000000  +0.000000  +1059.490936  +638.450714
006  00  06  +15.240000  +0.000000  +0.000000  +1066.670020  +638.296411
007  00  07  +17.780000  +0.000000  +0.000000  +1073.849103  +638.142108
008  00  08  +20.320000  +0.000000  +0.000000  +1081.028186  +637.987805
009  00  09  +22.860000  +0.000000  +0.000000  +1088.207269  +637.833502
010  00  10  +25.400000  +0.000000  +0.000000  +1095.386353  +637.679199
011  01  00  +0.000000  +2.540000  +0.000000  +1023.886639  +646.070245
012  01  01  +2.540000  +2.540000  +0.000000  +1031.065723  +645.915942
013  01  02  +5.080000  +2.540000  +0.000000  +1038.244806  +645.761639
014  01  03  +7.620000  +2.540000  +0.000000  +1045.423889  +645.607336
015  01  04  +10.160000  +2.540000  +0.000000  +1052.602972  +645.453033
016  01  05  +12.700000  +2.540000  +0.000000  +1059.782056  +645.298730
017  01  06  +15.240000  +2.540000  +0.000000  +1066.961139  +645.144427
018  01  07  +17.780000  +2.540000  +0.000000  +1074.140222  +644.990125
019  01  08  +20.320000  +2.540000  +0.000000  +1081.319305  +644.835822
020  01  09  +22.860000  +2.540000  +0.000000  +1088.498389  +644.681519
021  01  10  +25.400000  +2.540000  +0.000000  +1095.677472  +644.527216
022  02  00  +0.000000  +5.080000  +0.000000  +1024.177759  +652.918262
023  02  01  +2.540000  +5.080000  +0.000000  +1031.356842  +652.763959
024  02  02  +5.080000  +5.080000  +0.000000  +1038.535925  +652.609656
025  02  03  +7.620000  +5.080000  +0.000000  +1045.715009  +652.455353
026  02  04  +10.160000  +5.080000  +0.000000  +1052.894092  +652.301050
027  02  05  +12.700000  +5.080000  +0.000000  +1060.073175  +652.146747
028  02  06  +15.240000  +5.080000  +0.000000  +1067.252258  +651.992444
029  02  07  +17.780000  +5.080000  +0.000000  +1074.431342  +651.838141
030  02  08  +20.320000  +5.080000  +0.000000  +1081.610425  +651.683838
031  02  09  +22.860000  +5.080000  +0.000000  +1088.789508  +651.529535
032  02  10  +25.400000  +5.080000  +0.000000  +1095.968591  +651.375232
033  03  00  +0.000000  +7.620000  +0.000000  +1024.468878  +659.766278
034  03  01  +2.540000  +7.620000  +0.000000  +1031.647961  +659.611975
035  03  02  +5.080000  +7.620000  +0.000000  +1038.827045  +659.457672
036  03  03  +7.620000  +7.620000  +0.000000  +1046.006128  +659.303369
037  03  04  +10.160000  +7.620000  +0.000000  +1053.185211  +659.149066
038  03  05  +12.700000  +7.620000  +0.000000  +1060.364294  +658.994763
039  03  06  +15.240000  +7.620000  +0.000000  +1067.543378  +658.840460
040  03  07  +17.780000  +7.620000  +0.000000  +1074.722461  +658.686157
041  03  08  +20.320000  +7.620000  +0.000000  +1081.901544  +658.531854
042  03  09  +22.860000  +7.620000  +0.000000  +1089.080627  +658.377551
043  03  10  +25.400000  +7.620000  +0.000000  +1096.259711  +658.223248
044  04  00  +0.000000  +10.160000  +0.000000  +1024.759998  +666.614294
045  04  01  +2.540000  +10.160000  +0.000000  +1031.939081  +666.459991
046  04  02  +5.080000  +10.160000  +0.000000  +1039.118164  +666.305688
047  04  03  +7.620000  +10.160000  +0.000000  +1046.297247  +666.151385
048  04  04  +10.160000  +10.160000  +0.000000  +1053.476331  +665.997083
049  04  05  +12.700000  +10.160000  +0.000000  +1060.655414  +665.842780
050  04  06  +15.240000  +10.160000  +0.000000  +1067.834497  +665.688477
051  04  07  +17.780000  +10.160000  +0.000000  +1075.013580  +665.534174
052  04  08  +20.320000  +10.160000  +0.000000  +1082.192664  +665.379871
053  04  09  +22.860000  +10.160000  +0.000000  +1089.371747  +665.225568
054  04  10  +25.400000  +10.160000  +0.000000  +1096.550830  +665.071265
055  05  00  +0.000000  +12.700000  +0.000000  +1025.051117  +673.462311
056  05  01  +2.540000  +12.700000  +0.000000  +1032.230200  +673.308008
057  05  02  +5.080000  +12.700000  +0.000000  +1039.409283  +673.153705
058  05  03  +7.620000  +12.700000  +0.000000  +1046.588367  +672.999402
059  05  04  +10.160000  +12.700000  +0.000000  +1053.767450  +672.845099
060  05  05  +12.700000  +12.700000  +0.000000  +1060.946533  +672.690796
061  05  06  +15.240000  +12.700000  +0.000000  +1068.125616  +672.536493
062  05  07  +17.780000  +12.700000  +0.000000  +1075.304700  +672.382190
063  05  08  +20.320000  +12.700000  +0.000000  +1082.483783  +672.227887
064  05  09  +22.860000  +12.700000  +0.000000  +1089.662866  +672.073584
065  05  10  +25.400000  +12.700000  +0.000000  +1096.841949  +671.919281
066  06  00  +0.000000  +15.240000  +0.000000  +1025.342236  +680.310327
067  06  01  +2.540000  +15.240000  +0.000000  +1032.521320  +680.156024
068  06  02  +5.080000  +15.240000  +0.000000  +1039.700403  +680.001721
069  06  03  +7.620000  +15.240000  +0.000000  +1046.879486  +679.847418
070  06  04  +10.160000  +15.240000  +0.000000  +1054.058569  +679.693115
071  06  05  +12.700000  +15.240000  +0.000000  +1061.237653  +679.538812
072  06  06  +15.240000  +15.240000  +0.000000  +1068.416736  +679.384509
073  06  07  +17.780000  +15.240000  +0.000000  +1075.595819  +679.230206
074  06  08  +20.320000  +15.240000  +0.000000  +1082.774902  +679.075903
075  06  09  +22.860000  +15.240000  +0.000000  +1089.953986  +678.921600
076  06  10  +25.400000  +15.240000  +0.000000  +1097.133069  +678.767297
077  07  00  +0.000000  +17.780000  +0.000000  +1025.633356  +687.158344
078  07  01  +2.540000  +17.780000  +0.000000  +1032.812439  +687.004041
079  07  02  +5.080000  +17.780000  +0.000000  +1039.991522  +686.849738
080  07  03  +7.620000  +17.780000  +0.000000  +1047.170605  +686.695435
081  07  04  +10.160000  +17.780000  +0.000000  +1054.349689  +686.541132
082  07  05  +12.700000  +17.780000  +0.000000  +1061.528772  +686.386829
083  07  06  +15.240000  +17.780000  +0.000000  +1068.707855  +686.232526
084  07  07  +17.780000  +17.780000  +0.000000  +1075.886938  +686.078223
085  07  08  +20.320000  +17.780000  +0.000000  +1083.066022  +685.923920
086  07  09  +22.860000  +17.780000  +0.000000  +1090.245105  +685.769617
087  07  10  +25.400000  +17.780000  +0.000000  +1097.424188  +685.615314
088  08  00  +0.000000  +20.320000  +0.000000  +1025.924475  +694.006360
089  08  01  +2.540000  +20.320000  +0.000000  +1033.103558  +693.852057
090  08  02  +5.080000  +20.320000  +0.000000  +1040.282642  +693.697754
091  08  03  +7.620000  +20.320000  +0.000000  +1047.461725  +693.543451
092  08  04  +10.160000  +20.320000  +0.000000  +1054.640808  +693.389148
093  08  05  +12.700000  +20.320000  +0.000000  +1061.819891  +693.234845
094  08  06  +15.240000  +20.320000  +0.000000  +1068.998975  +693.080542
095  08  07  +17.780000  +20.320000  +0.000000  +1076.178058  +692.926239
096  08  08  +20.320000  +20.320000  +0.000000  +1083.357141  +692.771936
097  08  09  +22.860000  +20.320000  +0.000000  +1090.536224  +692.617633
098  08  10  +25.400000  +20.320000  +0.000000  +1097.715308  +692.463330
099  09  00  +0.000000  +22.860000  +0.000000  +1026.215594  +700.854376
100  09  01  +2.540000  +22.860000  +0.000000  +1033.394678  +700.700073
101  09  02  +5.080000  +22.860000  +0.000000  +1040.573761  +700.545770
102  09  03  +7.620000  +22.860000  +0.000000  +1047.752844  +700.391467
103  09  04  +10.160000  +22.860000  +0.000000  +1054.931927  +700.237164
104  09  05  +12.700000  +22.860000  +0.000000  +1062.111011  +700.082861
105  09  06  +15.240000  +22.860000  +0.000000  +1069.290094  +699.928558
106  09  07  +17.780000  +22.860000  +0.000000  +1076.469177  +699.774255
107  09  08  +20.320000  +22.860000  +0.000000  +1083.648260  +699.619952
108  09  09  +22.860000  +22.860000  +0.000000  +1090.827344  +699.465649
109  09  10  +25.400000  +22.860000  +0.000000  +1098.006427  +699.311346
110  10  00  +0.000000  +25.400000  +0.000000  +1026.506714  +707.702393
111  10  01  +2.540000  +25.400000  +0.000000  +1033.685797  +707.548090
112  10  02  +5.080000  +25.400000  +0.000000  +1040.864880  +707.393787
113  10  03  +7.620000  +25.400000  +0.000000  +1048.043964  +707.239484
114  10  04  +10.160000  +25.400000  +0.000000  +1055.223047  +707.085181
115  10  05  +12.700000  +25.400000  +0.000000  +1062.402130  +706.930878
116  10  06  +15.240000  +25.400000  +0.000000  +1069.581213  +706.776575
117  10  07  +17.780000  +25.400000  +0.000000  +1076.760297  +706.622272
118  10  08  +20.320000  +25.400000  +0.000000  +1083.939380  +706.467969
119  10  09  +22.860000  +25.400000  +0.000000  +1091.118463  +706.313666
120  10  10  +25.400000  +25.400000  +0.000000  +1098.297546  +706.159363
